YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2017,2017,NV,Nevada,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,26.1,26.1,,,23,29.5,Gender,Male,,,,,POINT (-117.07184056399967 39.493240390000494),,32,NPAW,NPAW1_1,AGEADJPREV,GENDER,GENM,,,,
2014,2014,NY,New York,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,27.0,27,,,25.6,28.5,Overall,Overall,,,,,POINT (-75.54397042699964 42.82700103200045),,36,NPAW,NPAW1_1,CRDPREV,OVERALL,OVR,,,,
2018,2018,NY,New York,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,27.6,27.6,,,26.7,28.6,Overall,Overall,,,,,POINT (-75.54397042699964 42.82700103200045),,36,NPAW,NPAW1_1,CRDPREV,OVERALL,OVR,,,,
2013,2013,NE,Nebraska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,28.4,28.4,,,26.9,29.9,Gender,Female,,,,,POINT (-99.36572062299967 41.6410409880005),,31,NPAW,NPAW1_1,CRDPREV,GENDER,GENF,,,,
2015,2015,NE,Nebraska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,33.7,33.7,,,25.9,42.5,Race/Ethnicity,"Other, non-Hispanic",,,,,POINT (-99.36572062299967 41.6410409880005),,31,NPAW,NPAW1_1,AGEADJPREV,RACE,OTH,,,,
2012,2012,OH,Ohio,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,30.5,30.5,,,28.8,32.3,Gender,Male,,,,,POINT (-82.40426005599966 40.06021014100048),,39,NPAW,NPAW1_1,CRDPREV,GENDER,GENM,,,,
2017,2017,OK,Oklahoma,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,36.5,36.5,,,34.9,38.1,Overall,Overall,,,,,POINT (-97.52107021399968 35.47203135600046),,40,NPAW,NPAW1_1,CRDPREV,OVERALL,OVR,,,,
2015,2015,OR,Oregon,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,30.1,30.1,,,28.4,31.8,Overall,Overall,,,,,POINT (-120.15503132599969 44.56744942400047),,41,NPAW,NPAW1_1,CRDPREV,OVERALL,OVR,,,,
2016,2016,NE,Nebraska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,32.1,32.1,,,30.9,33.4,Overall,Overall,,,,,POINT (-99.36572062299967 41.6410409880005),,31,NPAW,NPAW1_1,AGEADJPREV,OVERALL,OVR,,,,
2017,2017,PA,Pennsylvania,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,31.6,31.6,,,30,33.2,Overall,Overall,,,,,POINT (-77.86070029399963 40.79373015200048),,42,NPAW,NPAW1_1,CRDPREV,OVERALL,OVR,,,,
