analytics_matchkey,max_loan_amount,late_30_days,late_60_days,late_90_days
1346745,2500,0,0,0
1346746,1000,0,0,0
1346747,1002,0,0,0
1346748,1500,0,0,0
1346749,1675,0,0,0
1346750,2000,0,0,0
1346751,2500,0,0,0
1346752,2500,0,0,0
1346753,1439,1,0,0
1346754,1025,0,0,0
1346755,2500,0,0,0
1346756,2500,0,0,0
1346757,1329,0,0,0
1346758,1258,0,0,0
1346759,1550,0,0,0
1346760,1500,1,1,0
1346761,1234,0,0,0
1346762,1500,0,0,0
1346763,2000,0,0,0
1346764,1250,0,0,0
1346765,1202,0,0,0
1346766,1812,0,0,0
1346767,1458,0,0,0
1346768,3650,0,0,0
1346769,1500,0,0,0
1346770,1525,0,0,0
1346771,1800,0,0,0
1346772,1800,0,0,0
1346773,1329,0,0,0
1346774,1250,0,0,0
1346775,1049,1,1,0
1346776,3075,0,0,0
1346777,1000,0,0,0
1346778,1030,0,0,0
1346779,1006,1,1,1
1346780,4000,0,0,0
1346781,1391,0,0,0
1346782,1370,0,0,0
1346783,3505,0,0,0
1346784,1500,0,0,0
1346785,1902,1,1,1
1346786,2600,1,1,1
1346787,1000,0,0,0
1346788,1413,1,1,1
1346789,1545,0,0,0
1346790,1282,1,0,0
1346791,1428,0,0,0
1346792,2000,0,0,0
1346793,3013,0,0,0
1346794,3013,0,0,0
1346795,1000,0,0,0
1346796,1500,1,1,1
1346797,3500,0,0,0
1346798,1000,0,0,0
1346799,1125,0,0,0
1346800,2600,0,0,0
1346801,2000,0,0,0
1346802,1400,1,1,1
1346803,3500,1,0,0
1346804,1000,0,0,0
1346805,3500,0,0,0
1346806,1370,0,0,0
1346807,1370,0,0,0
1346808,2500,0,0,0
1346809,3150,0,0,0
1346810,2600,1,0,0
1346811,2277,0,0,0
1346812,1200,0,0,0
1346813,1500,0,0,0
1346814,1500,0,0,0
1346815,1500,0,0,0
1346816,1690,0,0,0
1346817,2000,1,0,0
1346818,3800,0,0,0
1346819,1000,1,1,1
1346820,1300,0,0,0
1346821,1203,0,0,0
1346822,1500,0,0,0
1346823,1500,0,0,0
1346824,2500,1,1,1
1346825,4000,0,0,0
1346826,1200,0,0,0
1346827,1170,0,0,0
1346828,3060,0,0,0
1346829,3060,0,0,0
1346830,3075,1,1,1
1346831,2000,0,0,0
1346832,2000,0,0,0
1346833,1000,0,0,0
1346834,1200,1,1,1
1346835,2000,0,0,0
1346836,1329,0,0,0
1346837,1049,0,0,0
1346838,1000,0,0,0
1346839,1500,0,0,0
1346840,1249,0,0,0
1346841,1206,0,0,0
1346842,1775,0,0,0
1346843,2500,0,0,0
1346844,1200,0,0,0
1346845,1000,0,0,0
1346846,2566,0,0,0
1346847,1625,0,0,0
1346848,1425,0,0,0
1346849,1413,1,1,1
1346850,1070,0,0,0
1346851,1500,0,0,0
1346852,2000,0,0,0
1346853,1500,0,0,0
1346854,1500,0,0,0
1346855,2200,0,0,0
1346856,2275,0,0,0
1346857,2220,0,0,0
1346858,1000,0,0,0
1346859,1070,0,0,0
1346860,1170,0,0,0
1346861,1000,0,0,0
1346862,1000,0,0,0
1346863,1000,0,0,0
