analytics_matchkey,industry_code_kind_of_business,reporting_subscriber_code,public_record_type_code,effective_date_date_verified,filed_date,paid_date,amount,public_record_source_type_code,equal_credit_opportunity_act_code,legislative_prohibited_code,plaintiff_name,attorney_name,docket_number
1346747,ZP,99,CJ,20130604,20130129,,1209,CI,I,1,,,
1346748,ZP,485,7X,20140925,20140506,20140924,,FE,I,1,,,
1346754,Z,11R,SL,20120124,20110405,,2248,RD,I,1,,,
1346754,ZP,1,7X,20130129,20120928,20130128,,FE,C,1,,,
1346756,ZP,1,RL,20140913,20070202,20140801,406,RD,I,1,,,
1346756,ZP,1,RL,20140913,20080312,20140801,925,RD,I,1,,,
1346758,ZP,25N,PF,20160122,20080310,20130523,32583,RD,I,1,,,
1346760,Z,13Q,CJ,20160622,20160401,,10116,CI,I,1,,,
1346766,ZP,52Z,CJ,20160513,20140811,,1590,CI,I,1,,,
1346767,ZP,120,7X,20100812,20100418,20100811,,FE,C,1,,,
1346767,ZP,112,CB,20100807,20091202,20100418,2830,CI,C,1,,,
1346773,ZP,26E,PC,20160518,20151204,20160401,410,CI,I,1,,,
1346784,ZP,44,CJ,20151021,20150918,,619,CI,I,2,,,
1346784,ZP,44,PC,20120503,20110816,20120427,368,CI,I,2,,,
1346786,ZP,35K,7X,20101127,20100729,20101123,,FE,I,1,,,
1346798,ZP,81,PC,20111217,20111116,20111212,1566,CI,I,1,,,
1346816,ZP,700,7X,20150901,20150513,20150831,,FE,I,1,,,
1346816,ZP,20A,CB,20150306,20150121,20150513,6854,RD,I,1,,,
1346821,ZP,483,CJ,20101231,20100805,,2459,CI,C,1,,,
1346827,Z,113,CJ,20150303,20150223,,400,CI,I,1,,,
1346836,ZP,974,SL,20140130,20131008,,230,RD,I,1,,,
1346836,ZP,26E,CJ,20130911,20130801,,610,CI,C,1,,,
1346850,ZP,1,7X,20130226,20090716,20091022,,FE,C,1,,,
1346850,ZP,80,CJ,20111008,20110802,,1855,CI,I,1,,,
1346852,ZP,232,CJ,20140812,20131108,,3571,CI,I,1,,,
1346852,ZP,220,CJ,20151014,20150706,,605,CI,I,1,,,
1346855,ZP,337,CJ,20151217,20151118,,2256,CI,I,2,,,
1346881,ZP,301,CJ,20110625,20110621,,526,CI,I,1,,,
1346881,ZP,301,CJ,20120619,20120612,,761,CI,I,1,,,
1346885,ZP,357,3X,20141216,20100917,20141215,,FE,C,1,,,
